interaction_key,condition,relationship_raw,relationship,canonical_r,null_z,null_mean,null_std,T,D_features,cca_a_std,cca_b_std,cca_a_max_abs,cca_b_max_abs
V00_S0305_I00000376,naturalistic,stranger,stranger,0.7330646823289301,10.258486041232757,0.0028452673236350466,0.07118198651051096,2679,31,0.7710694816087975,0.8386334141718544,4.231635266850301,7.395174124568786
V00_S0305_I00000377,naturalistic,stranger,stranger,0.6438701588588731,7.90454864404174,-0.009379981839645217,0.08264230762763698,3213,31,0.5110809698266022,0.6761062940092785,2.7507957774169824,6.095828317014236
V00_S0305_I00000386,naturalistic,stranger,stranger,0.8295393673772733,7.027379455019306,0.0039661447598412555,0.1174795281657612,1406,31,0.6311407129921058,0.2502823540116533,5.470580326786739,2.2082193861816717
V00_S0305_I00000502,naturalistic,stranger,stranger,0.369183813091484,6.621884817925163,0.0016897152725237658,0.05549690275858759,7124,31,0.44491737333095877,0.6069946899854334,6.528387802278582,7.657813900593122
V00_S0305_I00000503,naturalistic,stranger,stranger,0.8712866577931515,9.384295223718922,-0.019808373911124125,0.09495598875150708,1475,31,0.7417990073623392,0.4379377196723057,3.545438200488457,2.2310737401180996
V00_S0305_I00000504,naturalistic,stranger,stranger,0.7260359283218437,8.026922060895915,0.005194894886209853,0.08980291922196365,1684,31,0.5034233537754619,0.6223454227603831,3.8874732967461907,4.740240328676068
V00_S0360_I00000135,naturalistic,familiar,familiar,0.8140657432482398,10.440784835863916,0.009763032180234778,0.07703469841704227,2700,31,0.6280655570231624,0.7498230412061891,6.459899728770997,10.203981729591451
V00_S0360_I00000372,naturalistic,familiar,familiar,0.6817389859101153,9.520492696869887,-0.004938455875365106,0.07212625056802403,6000,31,0.5929708554119089,0.7425034817916317,9.166508688246472,12.381416793412683
V00_S0360_I00000376,naturalistic,familiar,familiar,0.5617618499367798,9.337780831955298,0.004621056417740136,0.05966522491215682,5545,31,0.6989974103463952,0.7455859032533306,5.817968160663475,5.188023850633
V00_S0360_I00000381,naturalistic,familiar,familiar,0.5384347236640358,7.50612316873636,-0.0007496301186956566,0.0718326014191294,6240,31,0.6501686182638642,0.6376038944624255,4.482190789112984,5.70091237533727
V00_S0360_I00000503,naturalistic,familiar,familiar,0.4400649210427101,6.58516767770445,0.001638008525460018,0.0665779421231204,8409,31,0.7190468123688604,0.7966073163867251,3.7595426512332173,6.067402302799087
V00_S0377_I00000477,naturalistic,stranger,stranger,0.7111460356530162,10.737080291702519,0.012600621526536748,0.06505915902168549,4200,31,0.6060720138149093,0.6913264621501765,9.315387287547871,9.954644611794727
V00_S0377_I00000478,naturalistic,stranger,stranger,0.7543101757664626,9.239769968600873,-0.008285169919799612,0.08253401851753435,2937,31,0.7491612391635465,0.8475467341693721,7.7155667082820845,9.5994796651459
V00_S0377_I00000481,naturalistic,stranger,stranger,0.7661793988278137,8.769512204057705,-0.015847846361840466,0.08917568354917227,2079,31,0.651682959420502,0.49457571815775314,4.0487219696979775,2.7883465424504728
V00_S0377_I00000484,naturalistic,stranger,stranger,0.42709516538007325,7.233475692450613,0.0001758092083763099,0.059019947577519535,6660,31,0.5366032095210472,0.7213131649079835,3.0366230701643016,3.9578900907102508
V00_S0377_I00000486,naturalistic,stranger,stranger,0.477235140776439,8.579383401720865,-0.004277138460486261,0.05612434561909693,4014,31,0.6315303190303307,0.6309076866227303,3.091106420162117,2.991470022024858
V00_S0377_I00000490,naturalistic,stranger,stranger,0.45607758325652503,7.241246881951092,-0.01128073534825477,0.06454113859447008,5799,31,0.8297266463448352,0.6278582157723417,7.18661157470117,3.0183475563615216
V00_S0377_I00000520,naturalistic,stranger,stranger,0.5585844679119907,8.396250061798874,-0.005501235446752812,0.06718305186326116,3328,31,0.5172725389946385,0.6905585086999194,5.4311582448559435,6.504893413205235
V00_S0515_I00000371,naturalistic,familiar,familiar,0.8369964285929491,6.930599249460789,-0.011791955188428554,0.12246969608687368,1130,31,0.4666657711360888,0.8063610031371133,1.5592027954160577,3.9582118340370496
V00_S0515_I00000372,naturalistic,familiar,familiar,0.768468851539763,10.115755683417165,-0.0022725912507387067,0.07619217653249416,3360,31,0.9269713247588813,0.6677599444706085,7.865334052247589,7.099908502397481
V00_S0515_I00000373,naturalistic,familiar,familiar,0.6012810975954366,9.423801466339919,0.013546799859829315,0.06236700760673766,3300,31,0.727714791917205,0.6709524553416427,3.786920800806024,4.1543529143020965
V00_S0515_I00000374,naturalistic,familiar,familiar,0.7601180061214742,9.050035893948504,0.0030919783894879016,0.08364895306527872,2145,31,0.732115032534624,0.4130159467363439,6.93213546563725,3.0847972766900225
